target,text
0,I hate rainy days
1,Today is a great day
0,Traffic is terrible
1,I love programming
0,The food was bad
1,This movie is fantastic
1,Had an amazing workout today
0,My internet connection is so slow
1,The sunset looks beautiful
0,I'm feeling sick today
1,Just got a promotion at work!
0,Feeling sad about the news today
1,My dog is so cute and playful
0,This homework is too difficult
1,Had a wonderful dinner with friends
0,The customer service was awful
1,Learning Python is fun
0,The product broke within a week
1,Watching a great movie tonight
0,The flight was delayed again
1,Enjoying a peaceful day at the park
